location,month,day_of_week,hour,crash_risk_count,fatal_crashes,serious_crashes,crash_risk_level
Albury,12,Monday,22,1,0,0,low
Albury,12,Saturday,0,4,0,1,low
Albury,12,Saturday,2,1,0,0,low
Albury,12,Saturday,6,1,0,0,low
Albury,12,Saturday,8,1,0,0,low
Albury,12,Saturday,10,1,0,0,low
Albury,12,Saturday,12,5,0,0,low
Albury,12,Saturday,14,2,0,0,low
Albury,12,Saturday,18,1,0,0,low
Albury,12,Saturday,20,3,0,2,low
Albury,12,Saturday,22,1,0,0,low
Albury,12,Sunday,0,1,0,0,low
Albury,12,Sunday,2,3,0,0,low
Albury,12,Sunday,6,1,0,0,low
Albury,12,Sunday,8,1,0,0,low
Albury,12,Sunday,10,1,0,0,low
Albury,12,Sunday,12,5,0,1,low
Albury,12,Sunday,14,5,0,0,low
Albury,12,Sunday,16,2,0,1,low
Albury,12,Sunday,18,2,0,0,low
Albury,12,Thursday,6,2,0,0,low
Albury,12,Thursday,8,3,0,1,low
Albury,12,Thursday,10,2,1,0,low
Albury,12,Thursday,12,4,0,1,low
Albury,12,Thursday,14,3,0,0,low
Albury,12,Thursday,16,3,0,0,low
